artist,birth_date,birth_place,death_date,artist_age,title,winning_bid,low_est,high_est,auction_date,category,style,size,medium
akhilesh,1/1/1956 0:00,Indore,,63,Divine Conversation,9000,5000,7000,6/1/2019 0:00,painting,abstract, 71.5 x 71.5 in, acrylic on canvas 
akhilesh,1/1/1956 0:00,Indore,,63,In search of Untitled forms -II,1120,5000,6670,11/1/2013 0:00,painting,abstract, 32.5 x 44 in, acrylic on canvas 
akhilesh,1/1/1956 0:00,Indore,,63,In Search of Untitled Lines,6186,6900,8625,8/1/2013 0:00,painting,, 47 x 47 in, acrylic on canvas 
akhilesh,1/1/1956 0:00,Indore,,63,Magadhi,2400,5770,7695,2/1/2013 0:00,painting,abstract, 33 x 44.5 in, acrylic on canvas 
akhilesh,1/1/1956 0:00,Indore,,63,Untitled,2942,6735,8655,2/1/2013 0:00,painting,abstract, 40 x 40 in, acrylic on canvas 
akhilesh,1/1/1956 0:00,Indore,,63,Para,6120,7000,9000,1/1/2013 0:00,painting,abstract, 46.5 x 66.5 in, acrylic on canvas 
akhilesh,1/1/1956 0:00,Indore,,63,Swayamprabha,22713,9305,11630,3/1/2007 0:00,painting,abstract, 47.5 x 47.5 in, acrylic on canvas 
akhilesh,1/1/1956 0:00,Indore,,63,Has it something to do with Benaras?,6038,4655,5815,3/1/2007 0:00,painting,abstract, 30 x 30 in, acrylic on canvas 
akhilesh,1/1/1956 0:00,Indore,,63,Para,15780,10000,15000,9/1/2006 0:00,painting,abstract, 67 x 67 in, acrylic on canvas 
akhilesh,1/1/1956 0:00,Indore,,63,Has it something to do with Benaras,9130,3335,4440,9/1/2006 0:00,painting,abstract, 30 x 30 in, acrylic on canvas 
akhilesh,1/1/1956 0:00,Indore,,63,Mahawar Ke Rang Jaisa Lahoo,23661,8140,10470,3/1/2006 0:00,painting,abstract, 48 x 72 in, acrylic on canvas 
akhilesh,1/1/1956 0:00,Indore,,63,Has it something to do with Benaras,21714,12800,15120,3/1/2006 0:00,painting,abstract, 72 x 72 in, acrylic on canvas 
akhilesh,1/1/1956 0:00,Indore,,63,"REVEALED UNTITLED, 2006",3138,7695,10770,10/1/2015 0:00,,, 71 in x 95.5 in, acrylic on canvas 
akhilesh,1/1/1956 0:00,Indore,,63,"UNTITLED, 1996",1268,4620,6155,10/1/2015 0:00,,, 29.5 in x 29.5 in, acrylic on canvas 
akhilesh,1/1/1956 0:00,Indore,,63,"PAINTING VIII, 1988",3743,5740,7380,1/1/2015 0:00,,, 70 x 48 in, acrylic on canvas 
akhilesh,1/1/1956 0:00,Indore,,63,"UNTITLED, 1999",1979,5085,6780,8/1/2014 0:00,,, 36 x 47.5 in, acrylic on canvas 
altaf,1/1/1942 0:00,"Baroda, Gujarat",1/1/2005 0:00,63,Hospital Series - 7,,3000,4000,12/1/2004 0:00,painting,figurative, 47 x 71 in, oil on canvas 
altaf,1/1/1942 0:00,"Baroda, Gujarat",1/1/2005 0:00,63,Visions of the Self as the Other,,1500,1700,12/1/2002 0:00,painting,figurative, 48 x 36 in, oil on canvas 
altaf,1/1/1942 0:00,"Baroda, Gujarat",1/1/2005 0:00,63,Untitled,,1300,1700,12/1/2002 0:00,painting,figurative, 51.5 x 35.5 in, oil on canvas 
altaf,1/1/1942 0:00,"Baroda, Gujarat",1/1/2005 0:00,63,,1455,2175,2900,5/1/2019 0:00,,, 24 x 12 in, oil on canvas 
altaf,1/1/1942 0:00,"Baroda, Gujarat",1/1/2005 0:00,63,"UNTITLED, 2004",871,495,660,1/1/2015 0:00,,, 7.5 x 7.5 in., mixed media on paper 
