artist,birth_date,birth_place,death_date,artist_age,title,winning_bid,low_est,high_est,auction_date,category,style,size,medium,area_or_vol,auction_dt_age
akhilesh,1956-01-01,Indore,,63.0,Divine Conversation,9000.0,5000.0,7000.0,2019-06-01,painting,abstract, 71.5 x 71.5 in, acrylic on canvas ,5112.25,63.0
akhilesh,1956-01-01,Indore,,63.0,In search of Untitled forms -II,1120.0,5000.0,6670.0,2013-11-01,painting,abstract, 32.5 x 44 in, acrylic on canvas ,1430.0,57.0
akhilesh,1956-01-01,Indore,,63.0,In Search of Untitled Lines,6186.0,6900.0,8625.0,2013-08-01,painting,, 47 x 47 in, acrylic on canvas ,2209.0,57.0
akhilesh,1956-01-01,Indore,,63.0,Magadhi,2400.0,5770.0,7695.0,2013-02-01,painting,abstract, 33 x 44.5 in, acrylic on canvas ,1468.5,57.0
akhilesh,1956-01-01,Indore,,63.0,Untitled,2942.0,6735.0,8655.0,2013-02-01,painting,abstract, 40 x 40 in, acrylic on canvas ,1600.0,57.0
akhilesh,1956-01-01,Indore,,63.0,Para,6120.0,7000.0,9000.0,2013-01-01,painting,abstract, 46.5 x 66.5 in, acrylic on canvas ,3092.25,57.0
akhilesh,1956-01-01,Indore,,63.0,Swayamprabha,22713.0,9305.0,11630.0,2007-03-01,painting,abstract, 47.5 x 47.5 in, acrylic on canvas ,2256.25,51.0
akhilesh,1956-01-01,Indore,,63.0,Has it something to do with Benaras?,6038.0,4655.0,5815.0,2007-03-01,painting,abstract, 30 x 30 in, acrylic on canvas ,900.0,51.0
akhilesh,1956-01-01,Indore,,63.0,Para,15780.0,10000.0,15000.0,2006-09-01,painting,abstract, 67 x 67 in, acrylic on canvas ,4489.0,50.0
akhilesh,1956-01-01,Indore,,63.0,Has it something to do with Benaras,9130.0,3335.0,4440.0,2006-09-01,painting,abstract, 30 x 30 in, acrylic on canvas ,900.0,50.0
akhilesh,1956-01-01,Indore,,63.0,Mahawar Ke Rang Jaisa Lahoo,23661.0,8140.0,10470.0,2006-03-01,painting,abstract, 48 x 72 in, acrylic on canvas ,3456.0,50.0
akhilesh,1956-01-01,Indore,,63.0,Has it something to do with Benaras,21714.0,12800.0,15120.0,2006-03-01,painting,abstract, 72 x 72 in, acrylic on canvas ,5184.0,50.0
akhilesh,1956-01-01,Indore,,63.0,"REVEALED UNTITLED, 2006",3138.0,7695.0,10770.0,2015-10-01,,, 71 in x 95.5 in, acrylic on canvas ,6780.5,59.0
akhilesh,1956-01-01,Indore,,63.0,"UNTITLED, 1996",1268.0,4620.0,6155.0,2015-10-01,,, 29.5 in x 29.5 in, acrylic on canvas ,870.25,59.0
akhilesh,1956-01-01,Indore,,63.0,"PAINTING VIII, 1988",3743.0,5740.0,7380.0,2015-01-01,,, 70 x 48 in, acrylic on canvas ,3360.0,59.0
akhilesh,1956-01-01,Indore,,63.0,"UNTITLED, 1999",1979.0,5085.0,6780.0,2014-08-01,,, 36 x 47.5 in, acrylic on canvas ,1710.0,58.0
altaf,1942-01-01,"Baroda, Gujarat",2005-01-01,63.0,Hospital Series - 7,,3000.0,4000.0,2004-12-01,painting,figurative, 47 x 71 in, oil on canvas ,3337.0,62.0
altaf,1942-01-01,"Baroda, Gujarat",2005-01-01,63.0,Visions of the Self as the Other,,1500.0,1700.0,2002-12-01,painting,figurative, 48 x 36 in, oil on canvas ,1728.0,60.0
altaf,1942-01-01,"Baroda, Gujarat",2005-01-01,63.0,Untitled,,1300.0,1700.0,2002-12-01,painting,figurative, 51.5 x 35.5 in, oil on canvas ,1828.25,60.0
altaf,1942-01-01,"Baroda, Gujarat",2005-01-01,63.0,,1455.0,2175.0,2900.0,2019-05-01,,, 24 x 12 in, oil on canvas ,288.0,63.0
altaf,1942-01-01,"Baroda, Gujarat",2005-01-01,63.0,"UNTITLED, 2004",871.0,495.0,660.0,2015-01-01,,, 7.5 x 7.5 in., mixed media on paper ,56.25,63.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Men Waiting for Ships Four and Eight,990.0,580.0,770.0,2013-05-01,painting,figurative, 29.5 x 32 in, acrylic on canvas ,944.0,48.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Man with a Club,480.0,700.0,900.0,2011-11-01,painting,figurative, 29.5 x 31.5 in, oil on canvas ,929.25,46.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Characteristics among Black Ants,240.0,500.0,700.0,2011-11-01,painting,figurative, 29.5 x 31.5 in, oil on canvas ,929.25,46.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Frog Catchers of Udiyankulangara,17520.0,10420.0,12500.0,2011-11-01,painting,figurative, 70.5 x 59.5 in, oil on canvas ,4194.75,46.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Man with a Club,,1500.0,2000.0,2011-02-01,painting,figurative, 30 x 32 in, oil on canvas ,960.0,46.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Innocents and Apparition of a Running Man,1495.0,1500.0,2000.0,2011-02-01,painting,figurative, 30 x 32 in, oil on canvas ,960.0,46.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Men Waiting for Death in a Beach of Eternal Quest,,3265.0,4350.0,2009-12-01,painting,figurative, 13 x 37.5 in, pastel on paper ,487.5,44.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Lassar Noble Driving the Earth Vehicle,8625.0,10000.0,14000.0,2009-03-01,painting,figurative, 56 x 43 in, oil on canvas ,2408.0,44.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Man Ascending the Mount of Pain - Series: Tradition of Death,4313.0,5000.0,7000.0,2009-03-01,painting,figurative, 31.5 x 52.5 in, oil on canvas ,1653.75,44.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Man Feeding Sphinx with Hard Earned Corns,,3650.0,4690.0,2008-12-01,painting,figurative, 12.5 x 36.5 in, ink and pastel on paper pasted on board ,456.25,43.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Frog Catchers of Udiyankulangara,43700.0,30000.0,37500.0,2008-09-01,painting,figurative, 70.5 x 59.5 in, oil on canvas ,4194.75,43.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Puli Kavadi,35075.0,30000.0,37500.0,2008-06-01,painting,figurative, 54 x 72 in, oil on canvas ,3888.0,43.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Kvees Stores,37605.0,23690.0,28950.0,2008-03-01,painting,figurative, 42.5 x 56.5 in, oil on canvas ,2401.25,43.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Mind Scroll - Detail 1,12823.0,7895.0,10530.0,2008-03-01,painting,figurative, 35.5 x 27.5 in, watercolour on paper ,976.25,43.0
gopikrishna,1965-01-01,Trivandrum Kerala,,54.0,Monument for a Sculptor,6613.0,6000.0,7000.0,2008-03-01,painting,figurative, 30 x 32 in, oil on canvas ,960.0,43.0
